prompt,completion,language,language_code,legal_domain,intent,urgency,recommended_document,feedback_rating,correction_applied,confidence_before,confidence_after,source
"You are a careful Indian legal-aid assistant helping an underserved citizen in Assam. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरा भाई is charged under Section 307; the family wants to know whether prolonged custody can support a bail request. The family may need help from High Court legal aid clinic.","Legal classification: bail_enquiry.
Domain: criminal_justice.
Urgency: high.
Relevant legal route: BNSS Sections 478, 479 and 480; CrPC Sections 437 and 439 principles where applicable.
Recommended workflow/document: bail_application.

Practical response:
- First identify whether the offence is bailable. If it is bailable, bail is normally a right and the family should ask the advocate to move the appropriate bail application immediately.
- For non-bailable offences, the court has discretion. The strongest bail file should show custody duration, roots in the community, cooperation with investigation, no witness intimidation, and readiness to obey court conditions.
- Check whether BNSS Section 479 may be relevant for prolonged detention. The exact threshold depends on the maximum punishment and the person’s criminal history.
- Collect FIR copy, arrest memo, remand orders, medical records, proof of residence, ID proofs, and surety details. A lawyer should verify the final bail section and facts before filing.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Assam?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to bail_enquiry and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,criminal_justice,bail_enquiry,high,bail_application,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Maharashtra. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: My brother lost Rs 18000 through UPI after clicking a link and has transaction ID, screenshot, and bank SMS. The family may need help from District Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Maharashtra?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",English,en,digital_safety,cyber_fraud,high,cyber_fraud_complaint,4,yes,0.62,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Telangana. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरा भाई shared OTP during a courier scam and money was debited within ten minutes. The family may need help from Magistrate Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Telangana?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Gujarat. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरी बहन was cheated through a fake loan app and the app is now threatening to misuse contact list photos. The family may need help from High Court legal aid clinic.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Gujarat?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Assam. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: My father paid a job agency online but the company blocked the number after receiving the transfer. The family may need help from District Legal Services Authority.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Assam?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",English,en,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,yes,0.62,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Maharashtra. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरे पिता lost Rs 18000 through UPI after clicking a link and has transaction ID, screenshot, and bank SMS. The family may need help from Sessions Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Maharashtra?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,4,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Telangana. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: My brother shared OTP during a courier scam and money was debited within ten minutes. The family may need help from District Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Telangana?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",English,en,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Gujarat. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरा भाई was cheated through a fake loan app and the app is now threatening to misuse contact list photos. The family may need help from Magistrate Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Gujarat?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,yes,0.62,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Assam. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरी बहन paid a job agency online but the company blocked the number after receiving the transfer. The family may need help from High Court legal aid clinic.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Assam?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Maharashtra. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: My father lost Rs 18000 through UPI after clicking a link and has transaction ID, screenshot, and bank SMS. The family may need help from District Legal Services Authority.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Maharashtra?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",English,en,digital_safety,cyber_fraud,high,cyber_fraud_complaint,4,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Telangana. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरे पिता shared OTP during a courier scam and money was debited within ten minutes. The family may need help from Sessions Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Telangana?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,yes,0.62,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Gujarat. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: My brother was cheated through a fake loan app and the app is now threatening to misuse contact list photos. The family may need help from District Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Gujarat?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",English,en,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Assam. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरा भाई paid a job agency online but the company blocked the number after receiving the transfer. The family may need help from Magistrate Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Assam?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Maharashtra. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरी बहन lost Rs 18000 through UPI after clicking a link and has transaction ID, screenshot, and bank SMS. The family may need help from High Court legal aid clinic.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Maharashtra?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,4,yes,0.62,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Telangana. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: My father shared OTP during a courier scam and money was debited within ten minutes. The family may need help from District Legal Services Authority.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Telangana?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",English,en,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Gujarat. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: मेरे पिता was cheated through a fake loan app and the app is now threatening to misuse contact list photos. The family may need help from Sessions Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Gujarat?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",Hindi,hi,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,no,0.84,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
"You are a careful Indian legal-aid assistant helping an underserved citizen in Assam. The user may not know legal terminology and may be mixing Hindi/English or regional language. Read the facts, classify the legal issue, cite the relevant legal route or public authority, identify evidence and missing information, and draft a practical response. Do not guarantee success. User context: My brother paid a job agency online but the company blocked the number after receiving the transfer. The family may need help from District Court.","Legal classification: cyber_fraud.
Domain: digital_safety.
Urgency: high.
Relevant legal route: National Cyber Crime Portal, 1930 helpline, IT Act and IPC/BNS fraud provisions depending on facts.
Recommended workflow/document: cyber_fraud_complaint.

Practical response:
- Call 1930 immediately and file a complaint on cybercrime.gov.in with transaction ID, time, bank name, UPI ID, screenshots, phone numbers, and URLs.
- Inform the bank in writing and request freezing or reversal support. Preserve the complaint acknowledgement number.
- Do not delete chats, call logs, emails, screenshots, app names, or payment proof. These become the evidence trail.
- If the local police refuse to assist, ask for cyber cell escalation or written acknowledgement. Legal aid can help draft a concise complaint.

Follow-up questions to ask:
1. Which district and police station/court/authority is involved in Assam?
2. What documents are already available and what is missing?
3. Is there any deadline, hearing date, threat, detention, or safety risk?

Adaptive data note: If the model misclassifies this as a generic legal-rights query, correct the intent to cyber_fraud and record the missing evidence checklist. Confidence should increase after correction.

Safety disclaimer: This is legal-aid information for preparing next steps. The final filing, notice, or court strategy should be verified by a qualified advocate, DLSA/legal aid office, or the appropriate public authority.",English,en,digital_safety,cyber_fraud,high,cyber_fraud_complaint,5,yes,0.62,0.97,"NyayaSetu + ZamanatAI, credited to Adaption Labs Adaptive Data Track"
