sample_id,split,task_type,instruction,input,output,language_code,language_name,region,is_low_resource_language,jurisdiction,legal_domain,intent,urgency,output_doc_type,evidence_items,missing_information,feedback_rating,feedback_type,feedback_comment,correction_applied,correction_field,before_prediction,after_correction,confidence_before,confidence_after,quality_score,quality_band,pii_redacted,human_review_status,adaption_track_credit
NYAYA-GOLD-000018,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.","mere pita arrested under section 420, FIR FIR240018, custody 6 months; need bail eligibility","Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,3,partial_answer,Reviewer marked this as partial answer for adaptive improvement.,yes,missing_information,generic answer,specific checklist and next steps,0.7,0.92,0.91,silver,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000019,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",meri maa ko zamaanat ke liye kaunse documents chahiye section 304B FIR FIR240019 kripya simple language me batao,"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,bail_enquiry with generic response,bail_enquiry with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000020,test,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",mera bhai section 302 FIR FIR240020 me 1 mahine se custody me hai bail possible hai kya; family needs urgent next steps,"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,5,excellent_response,Reviewer marked this as excellent response for adaptive improvement.,no,none,bail_enquiry with generic response,bail_enquiry with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000021,validation,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",meri behen jail me hai section 376 FIR FIR240021 police station Imphal East bail application chahiye,"Intent: bail_enquiry. Legal domain: criminal_justice. Urgency: high. Recommended document/workflow: bail_application. Evidence to collect: FIR copy; arrest memo; custody duration; section charged; medical papers if any. Missing information to ask for: court name; advocate details; surety details. Guidance: Check whether the offence is bailable and whether BNSS Section 479 custody thresholds apply. Prepare bail application facts, FIR details, section charged, custody period, and surety documents. Lawyer verification is required. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,bail_enquiry,high,bail_application,FIR copy; arrest memo; custody duration; section charged; medical papers if any,court name; advocate details; surety details,2,wrong_intent,Reviewer marked this as wrong intent for adaptive improvement.,yes,intent,incomplete,bail_enquiry,0.52,0.96,0.91,silver,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000022,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",mera bhai ki bail ke liye surety bond banana hai property paper available hai kripya simple language me batao,"Intent: surety_bond. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: surety_bond. Evidence to collect: surety ID; address proof; property document; relationship proof; bond amount. Missing information to ask for: surety occupation; property valuation; court bond amount. Guidance: Collect surety identity, address, occupation, relationship, property proof, and bond amount. The system can draft a Form 45-style surety bond for advocate/court verification. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,surety_bond,medium,surety_bond,surety ID; address proof; property document; relationship proof; bond amount,surety occupation; property valuation; court bond amount,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,surety_bond with generic response,surety_bond with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000023,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",zamanatnama ke liye surety person ka address proof aur property document hai; family needs urgent next steps,"Intent: surety_bond. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: surety_bond. Evidence to collect: surety ID; address proof; property document; relationship proof; bond amount. Missing information to ask for: surety occupation; property valuation; court bond amount. Guidance: Collect surety identity, address, occupation, relationship, property proof, and bond amount. The system can draft a Form 45-style surety bond for advocate/court verification. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,surety_bond,medium,surety_bond,surety ID; address proof; property document; relationship proof; bond amount,surety occupation; property valuation; court bond amount,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,surety_bond with generic response,surety_bond with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000024,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",court ne surety manga hai bond amount 18000 documents ka checklist chahiye,"Intent: surety_bond. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: surety_bond. Evidence to collect: surety ID; address proof; property document; relationship proof; bond amount. Missing information to ask for: surety occupation; property valuation; court bond amount. Guidance: Collect surety identity, address, occupation, relationship, property proof, and bond amount. The system can draft a Form 45-style surety bond for advocate/court verification. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,surety_bond,medium,surety_bond,surety ID; address proof; property document; relationship proof; bond amount,surety occupation; property valuation; court bond amount,3,partial_answer,Reviewer marked this as partial answer for adaptive improvement.,yes,missing_information,generic answer,specific checklist and next steps,0.7,0.92,0.91,silver,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000025,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",personal bond aur surety bond ke liye format chahiye FIR FIR240025 kripya simple language me batao,"Intent: surety_bond. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: surety_bond. Evidence to collect: surety ID; address proof; property document; relationship proof; bond amount. Missing information to ask for: surety occupation; property valuation; court bond amount. Guidance: Collect surety identity, address, occupation, relationship, property proof, and bond amount. The system can draft a Form 45-style surety bond for advocate/court verification. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,surety_bond,medium,surety_bond,surety ID; address proof; property document; relationship proof; bond amount,surety occupation; property valuation; court bond amount,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,surety_bond with generic response,surety_bond with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000026,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",mera bhai ki bail ke liye surety bond banana hai property paper available hai; family needs urgent next steps,"Intent: surety_bond. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: surety_bond. Evidence to collect: surety ID; address proof; property document; relationship proof; bond amount. Missing information to ask for: surety occupation; property valuation; court bond amount. Guidance: Collect surety identity, address, occupation, relationship, property proof, and bond amount. The system can draft a Form 45-style surety bond for advocate/court verification. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,surety_bond,medium,surety_bond,surety ID; address proof; property document; relationship proof; bond amount,surety occupation; property valuation; court bond amount,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,surety_bond with generic response,surety_bond with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000027,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",zamanatnama ke liye surety person ka address proof aur property document hai,"Intent: surety_bond. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: surety_bond. Evidence to collect: surety ID; address proof; property document; relationship proof; bond amount. Missing information to ask for: surety occupation; property valuation; court bond amount. Guidance: Collect surety identity, address, occupation, relationship, property proof, and bond amount. The system can draft a Form 45-style surety bond for advocate/court verification. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,surety_bond,medium,surety_bond,surety ID; address proof; property document; relationship proof; bond amount,surety occupation; property valuation; court bond amount,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,surety_bond with generic response,surety_bond with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000028,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",FIR FIR240028 police station Shivaji Nagar ka case status kaise check karun kripya simple language me batao,"Intent: case_status. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: case_status_request. Evidence to collect: FIR number; police station; case number if available; court name. Missing information to ask for: court name; case number; state portal. Guidance: Ask for FIR number, police station, district, court name, and case number if available. Use official court/police portals or legal aid to verify status. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,case_status,medium,case_status_request,FIR number; police station; case number if available; court name,court name; case number; state portal,2,wrong_language,Reviewer marked this as wrong language for adaptive improvement.,yes,input_language,unknown,hi,0.52,0.96,0.91,silver,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000029,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",meri behen ka case kis court me hai next update chahiye FIR FIR240029; family needs urgent next steps,"Intent: case_status. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: case_status_request. Evidence to collect: FIR number; police station; case number if available; court name. Missing information to ask for: court name; case number; state portal. Guidance: Ask for FIR number, police station, district, court name, and case number if available. Use official court/police portals or legal aid to verify status. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,case_status,medium,case_status_request,FIR number; police station; case number if available; court name,court name; case number; state portal,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,case_status with generic response,case_status with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000030,test,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",hearing date aur chargesheet status chahiye FIR FIR240030 section 302,"Intent: case_status. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: case_status_request. Evidence to collect: FIR number; police station; case number if available; court name. Missing information to ask for: court name; case number; state portal. Guidance: Ask for FIR number, police station, district, court name, and case number if available. Use official court/police portals or legal aid to verify status. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,case_status,medium,case_status_request,FIR number; police station; case number if available; court name,court name; case number; state portal,3,partial_answer,Reviewer marked this as partial answer for adaptive improvement.,yes,missing_information,generic answer,specific checklist and next steps,0.7,0.92,0.91,silver,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000031,validation,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",case number nahi pata sirf FIR FIR240031 hai status find karna hai kripya simple language me batao,"Intent: case_status. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: case_status_request. Evidence to collect: FIR number; police station; case number if available; court name. Missing information to ask for: court name; case number; state portal. Guidance: Ask for FIR number, police station, district, court name, and case number if available. Use official court/police portals or legal aid to verify status. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,case_status,medium,case_status_request,FIR number; police station; case number if available; court name,court name; case number; state portal,4,helpful_response,Reviewer marked this as helpful response for adaptive improvement.,no,none,case_status with generic response,case_status with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
NYAYA-GOLD-000032,train,legal_aid_intent_response_evaluation,"You are NyayaSetu, an Indian legal-aid assistant. Classify the citizen message, identify missing evidence, and provide safe next-step guidance. Do not claim to be a lawyer and require lawyer/legal-aid verification.",FIR FIR240032 police station Hazratganj ka case status kaise check karun; family needs urgent next steps,"Intent: case_status. Legal domain: criminal_justice. Urgency: medium. Recommended document/workflow: case_status_request. Evidence to collect: FIR number; police station; case number if available; court name. Missing information to ask for: court name; case number; state portal. Guidance: Ask for FIR number, police station, district, court name, and case number if available. Use official court/police portals or legal aid to verify status. Safety note: Generated information is legal-aid guidance and must be verified by a qualified lawyer or legal services authority.",hi,Hindi,Hindi belt,no,India,criminal_justice,case_status,medium,case_status_request,FIR number; police station; case number if available; court name,court name; case number; state portal,5,excellent_response,Reviewer marked this as excellent response for adaptive improvement.,no,none,case_status with generic response,case_status with complete evidence checklist,0.82,0.97,0.97,gold,yes,simulated_human_reviewed,Built for Adaption Labs Adaptive Data Track
