collection_id,provenance,service_type,field_name,document_1_type,document_1_value,document_2_type,document_2_value,expected_action,review_status,notes
MIS-0011,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 11,supporting_test_record,Test Value B 11,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0012,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 12,supporting_test_record,Test Value B 12,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0013,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 13,supporting_test_record,Test Value B 13,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0014,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 14,supporting_test_record,Test Value B 14,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0015,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 15,supporting_test_record,Test Value B 15,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0016,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 16,supporting_test_record,Test Value B 16,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0017,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 17,supporting_test_record,Test Value B 17,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0018,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 18,supporting_test_record,Test Value B 18,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0019,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 19,supporting_test_record,Test Value B 19,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0020,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 20,supporting_test_record,Test Value B 20,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0021,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 21,supporting_test_record,Test Value B 21,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0022,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 22,supporting_test_record,Test Value B 22,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0023,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 23,supporting_test_record,Test Value B 23,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0024,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 24,supporting_test_record,Test Value B 24,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0025,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 25,supporting_test_record,Test Value B 25,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0026,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 26,supporting_test_record,Test Value B 26,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0027,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 27,supporting_test_record,Test Value B 27,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0028,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 28,supporting_test_record,Test Value B 28,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0029,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 29,supporting_test_record,Test Value B 29,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0030,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 30,supporting_test_record,Test Value B 30,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0031,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 31,supporting_test_record,Test Value B 31,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0032,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 32,supporting_test_record,Test Value B 32,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0033,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 33,supporting_test_record,Test Value B 33,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0034,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 34,supporting_test_record,Test Value B 34,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0035,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 35,supporting_test_record,Test Value B 35,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0036,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 36,supporting_test_record,Test Value B 36,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0037,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 37,supporting_test_record,Test Value B 37,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0038,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 38,supporting_test_record,Test Value B 38,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0039,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 39,supporting_test_record,Test Value B 39,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0040,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 40,supporting_test_record,Test Value B 40,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0041,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 41,supporting_test_record,Test Value B 41,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0042,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 42,supporting_test_record,Test Value B 42,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0043,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 43,supporting_test_record,Test Value B 43,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0044,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 44,supporting_test_record,Test Value B 44,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0045,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 45,supporting_test_record,Test Value B 45,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0046,identity_mismatch_case,caste_certificate,date_of_birth,aadhaar_test_copy,Test Value A 46,supporting_test_record,Test Value B 46,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0047,identity_mismatch_case,domicile_certificate,address,aadhaar_test_copy,Test Value A 47,supporting_test_record,Test Value B 47,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0048,identity_mismatch_case,disability_pension,father_or_guardian_name,aadhaar_test_copy,Test Value A 48,supporting_test_record,Test Value B 48,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0049,identity_mismatch_case,legal_aid_application,annual_family_income,aadhaar_test_copy,Test Value A 49,supporting_test_record,Test Value B 49,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
MIS-0050,identity_mismatch_case,income_certificate,applicant_name,aadhaar_test_copy,Test Value A 50,supporting_test_record,Test Value B 50,flag mismatch and require user confirmation before packet generation,pending,Pseudonymous values only.
