collection_id,provenance,module,expected_intent,language,message_to_send,sent_at,twilio_reply_received,predicted_intent,prediction_correct,reply_safe_and_useful,collector_notes
WA-0018,field_collected_scripted,zamanatai,surety_bond,Hinglish,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,,,,,,
WA-0019,field_collected_scripted,zamanatai,surety_bond,Hinglish,court ne surety manga hai property paper photo se muchchalka prepare karna hai,,,,,,
WA-0020,field_collected_scripted,zamanatai,surety_bond,Hinglish,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,,,,,,
WA-0021,field_collected_scripted,legal_aid,case_status,English,TEST-FIR-0021 police station Civil Lines ka case status aur next hearing kaise pata chalega,,,,,,
WA-0022,field_collected_scripted,legal_aid,case_status,English,Only FIR number is available; charge-sheet and court status are unknown,,,,,,
WA-0023,field_collected_scripted,legal_aid,case_status,English,TEST-FIR-0023 police station Civil Lines ka case status aur next hearing kaise pata chalega,,,,,,
WA-0024,field_collected_scripted,legal_aid,case_status,English,Only FIR number is available; charge-sheet and court status are unknown,,,,,,
WA-0025,field_collected_scripted,legal_aid,case_status,English,TEST-FIR-0025 police station Civil Lines ka case status aur next hearing kaise pata chalega,,,,,,
WA-0026,field_collected_scripted,legal_aid,case_status,English,Only FIR number is available; charge-sheet and court status are unknown,,,,,,
WA-0027,field_collected_scripted,legal_aid,case_status,English,TEST-FIR-0027 police station Civil Lines ka case status aur next hearing kaise pata chalega,,,,,,
WA-0028,field_collected_scripted,legal_aid,case_status,English,Only FIR number is available; charge-sheet and court status are unknown,,,,,,
WA-0029,field_collected_scripted,legal_aid,case_status,English,TEST-FIR-0029 police station Civil Lines ka case status aur next hearing kaise pata chalega,,,,,,
WA-0030,field_collected_scripted,legal_aid,case_status,English,Only FIR number is available; charge-sheet and court status are unknown,,,,,,
WA-0031,field_collected_scripted,legal_aid,legal_rights,Hinglish,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,,,,,,
WA-0032,field_collected_scripted,legal_aid,legal_rights,English,Can an accused consult a lawyer before questioning and get free legal aid,,,,,,
WA-0033,field_collected_scripted,legal_aid,legal_rights,Hinglish,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,,,,,,
WA-0034,field_collected_scripted,legal_aid,legal_rights,English,Can an accused consult a lawyer before questioning and get free legal aid,,,,,,
WA-0035,field_collected_scripted,legal_aid,legal_rights,Hinglish,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,,,,,,
WA-0036,field_collected_scripted,legal_aid,legal_rights,English,Can an accused consult a lawyer before questioning and get free legal aid,,,,,,
WA-0037,field_collected_scripted,legal_aid,legal_rights,Hinglish,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,,,,,,
WA-0038,field_collected_scripted,legal_aid,legal_rights,English,Can an accused consult a lawyer before questioning and get free legal aid,,,,,,
WA-0039,field_collected_scripted,legal_aid,legal_rights,Hinglish,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,,,,,,
WA-0040,field_collected_scripted,legal_aid,legal_rights,English,Can an accused consult a lawyer before questioning and get free legal aid,,,,,,
WA-0041,field_collected_scripted,legal_aid,labour_dispute,Hinglish,company ne 2 mahine ki salary nahi di attendance aur bank statement available hai,,,,,,
WA-0042,field_collected_scripted,legal_aid,labour_dispute,English,Contractor removed a migrant worker without paying final wages,,,,,,
WA-0043,field_collected_scripted,legal_aid,labour_dispute,Hinglish,company ne 4 mahine ki salary nahi di attendance aur bank statement available hai,,,,,,
WA-0044,field_collected_scripted,legal_aid,labour_dispute,English,Contractor removed a migrant worker without paying final wages,,,,,,
WA-0045,field_collected_scripted,legal_aid,labour_dispute,Hinglish,company ne 8 mahine ki salary nahi di attendance aur bank statement available hai,,,,,,
WA-0046,field_collected_scripted,legal_aid,labour_dispute,English,Contractor removed a migrant worker without paying final wages,,,,,,
WA-0047,field_collected_scripted,legal_aid,labour_dispute,Hinglish,company ne 3 mahine ki salary nahi di attendance aur bank statement available hai,,,,,,
WA-0048,field_collected_scripted,legal_aid,labour_dispute,English,Contractor removed a migrant worker without paying final wages,,,,,,
WA-0049,field_collected_scripted,legal_aid,labour_dispute,Hinglish,company ne 6 mahine ki salary nahi di attendance aur bank statement available hai,,,,,,
WA-0050,field_collected_scripted,legal_aid,labour_dispute,English,Contractor removed a migrant worker without paying final wages,,,,,,
WA-0051,field_collected_scripted,legal_aid,tenant_housing,English,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,,,,,,
WA-0052,field_collected_scripted,legal_aid,tenant_housing,English,Owner threatened to disconnect electricity unless the tenant leaves today,,,,,,
WA-0053,field_collected_scripted,legal_aid,tenant_housing,English,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,,,,,,
WA-0054,field_collected_scripted,legal_aid,tenant_housing,English,Owner threatened to disconnect electricity unless the tenant leaves today,,,,,,
WA-0055,field_collected_scripted,legal_aid,tenant_housing,English,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,,,,,,
WA-0056,field_collected_scripted,legal_aid,tenant_housing,English,Owner threatened to disconnect electricity unless the tenant leaves today,,,,,,
WA-0057,field_collected_scripted,legal_aid,tenant_housing,English,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,,,,,,
WA-0058,field_collected_scripted,legal_aid,tenant_housing,English,Owner threatened to disconnect electricity unless the tenant leaves today,,,,,,
WA-0059,field_collected_scripted,legal_aid,tenant_housing,English,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,,,,,,
WA-0060,field_collected_scripted,legal_aid,tenant_housing,English,Owner threatened to disconnect electricity unless the tenant leaves today,,,,,,
WA-0061,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,UPI fraud me 18000 rupees gaye transaction ID aur screenshot available hai,,,,,,
WA-0062,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,OTP scam ke baad bank se paisa debit hua first emergency step kya hai,,,,,,
WA-0063,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,UPI fraud me 43000 rupees gaye transaction ID aur screenshot available hai,,,,,,
WA-0064,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,OTP scam ke baad bank se paisa debit hua first emergency step kya hai,,,,,,
WA-0065,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,UPI fraud me 18000 rupees gaye transaction ID aur screenshot available hai,,,,,,
WA-0066,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,OTP scam ke baad bank se paisa debit hua first emergency step kya hai,,,,,,
WA-0067,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,UPI fraud me 43000 rupees gaye transaction ID aur screenshot available hai,,,,,,
WA-0068,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,OTP scam ke baad bank se paisa debit hua first emergency step kya hai,,,,,,
WA-0069,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,UPI fraud me 18000 rupees gaye transaction ID aur screenshot available hai,,,,,,
WA-0070,field_collected_scripted,legal_aid,cyber_fraud,Hinglish,OTP scam ke baad bank se paisa debit hua first emergency step kya hai,,,,,,
WA-0071,field_collected_scripted,legal_aid,domestic_violence,Hinglish,meri behen ko ghar me violence face karna pad raha protection aur free lawyer chahiye,,,,,,
WA-0072,field_collected_scripted,legal_aid,domestic_violence,English,Medical report and threatening messages are available; need a safe protection route,,,,,,
WA-0073,field_collected_scripted,legal_aid,domestic_violence,Hinglish,meri behen ko ghar me violence face karna pad raha protection aur free lawyer chahiye,,,,,,
WA-0074,field_collected_scripted,legal_aid,domestic_violence,English,Medical report and threatening messages are available; need a safe protection route,,,,,,
WA-0075,field_collected_scripted,legal_aid,domestic_violence,Hinglish,meri behen ko ghar me violence face karna pad raha protection aur free lawyer chahiye,,,,,,
WA-0076,field_collected_scripted,legal_aid,domestic_violence,English,Medical report and threatening messages are available; need a safe protection route,,,,,,
WA-0077,field_collected_scripted,legal_aid,domestic_violence,Hinglish,meri behen ko ghar me violence face karna pad raha protection aur free lawyer chahiye,,,,,,
WA-0078,field_collected_scripted,legal_aid,domestic_violence,English,Medical report and threatening messages are available; need a safe protection route,,,,,,
WA-0079,field_collected_scripted,legal_aid,domestic_violence,Hinglish,meri behen ko ghar me violence face karna pad raha protection aur free lawyer chahiye,,,,,,
WA-0080,field_collected_scripted,legal_aid,domestic_violence,English,Medical report and threatening messages are available; need a safe protection route,,,,,,
WA-0081,field_collected_scripted,legal_aid,zero_fir,Hinglish,police bol rahi incident dusre jurisdiction ka hai complaint register nahi karenge,,,,,,
WA-0082,field_collected_scripted,legal_aid,zero_fir,English,Police refused FIR despite written complaint and medical record,,,,,,
WA-0083,field_collected_scripted,legal_aid,zero_fir,Hinglish,police bol rahi incident dusre jurisdiction ka hai complaint register nahi karenge,,,,,,
WA-0084,field_collected_scripted,legal_aid,zero_fir,English,Police refused FIR despite written complaint and medical record,,,,,,
WA-0085,field_collected_scripted,legal_aid,zero_fir,Hinglish,police bol rahi incident dusre jurisdiction ka hai complaint register nahi karenge,,,,,,
WA-0086,field_collected_scripted,legal_aid,zero_fir,English,Police refused FIR despite written complaint and medical record,,,,,,
WA-0087,field_collected_scripted,legal_aid,zero_fir,Hinglish,police bol rahi incident dusre jurisdiction ka hai complaint register nahi karenge,,,,,,
WA-0088,field_collected_scripted,legal_aid,zero_fir,English,Police refused FIR despite written complaint and medical record,,,,,,
WA-0089,field_collected_scripted,legal_aid,zero_fir,Hinglish,police bol rahi incident dusre jurisdiction ka hai complaint register nahi karenge,,,,,,
WA-0090,field_collected_scripted,legal_aid,zero_fir,English,Police refused FIR despite written complaint and medical record,,,,,,
WA-0091,field_collected_scripted,legal_aid,rti_request,Hinglish,police complaint par action taken report RTI se chahiye,,,,,,
WA-0092,field_collected_scripted,legal_aid,rti_request,English,Need certified file movement records for a pension application,,,,,,
WA-0093,field_collected_scripted,legal_aid,rti_request,Hinglish,police complaint par action taken report RTI se chahiye,,,,,,
WA-0094,field_collected_scripted,legal_aid,rti_request,English,Need certified file movement records for a pension application,,,,,,
WA-0095,field_collected_scripted,legal_aid,rti_request,Hinglish,police complaint par action taken report RTI se chahiye,,,,,,
WA-0096,field_collected_scripted,legal_aid,rti_request,English,Need certified file movement records for a pension application,,,,,,
WA-0097,field_collected_scripted,legal_aid,rti_request,Hinglish,police complaint par action taken report RTI se chahiye,,,,,,
WA-0098,field_collected_scripted,legal_aid,rti_request,English,Need certified file movement records for a pension application,,,,,,
WA-0099,field_collected_scripted,legal_aid,rti_request,Hinglish,police complaint par action taken report RTI se chahiye,,,,,,
WA-0100,field_collected_scripted,legal_aid,rti_request,English,Need certified file movement records for a pension application,,,,,,
WA-0101,field_collected_scripted,civicdocs,income_certificate,Hinglish,scholarship ke liye income certificate application packet prepare karna hai,,,,,,
WA-0102,field_collected_scripted,civicdocs,income_certificate,English,Income proof and bank statement show different annual amounts; check mismatch,,,,,,
WA-0103,field_collected_scripted,civicdocs,income_certificate,Hinglish,scholarship ke liye income certificate application packet prepare karna hai,,,,,,
WA-0104,field_collected_scripted,civicdocs,income_certificate,English,Income proof and bank statement show different annual amounts; check mismatch,,,,,,
WA-0105,field_collected_scripted,civicdocs,income_certificate,Hinglish,scholarship ke liye income certificate application packet prepare karna hai,,,,,,
WA-0106,field_collected_scripted,civicdocs,income_certificate,English,Income proof and bank statement show different annual amounts; check mismatch,,,,,,
WA-0107,field_collected_scripted,civicdocs,income_certificate,Hinglish,scholarship ke liye income certificate application packet prepare karna hai,,,,,,
WA-0108,field_collected_scripted,civicdocs,income_certificate,English,Income proof and bank statement show different annual amounts; check mismatch,,,,,,
WA-0109,field_collected_scripted,civicdocs,income_certificate,Hinglish,scholarship ke liye income certificate application packet prepare karna hai,,,,,,
WA-0110,field_collected_scripted,civicdocs,income_certificate,English,Income proof and bank statement show different annual amounts; check mismatch,,,,,,
WA-0111,field_collected_scripted,civicdocs,caste_certificate,Hinglish,caste certificate application ke liye school record aur family evidence hai,,,,,,
WA-0112,field_collected_scripted,civicdocs,caste_certificate,English,Surname differs between Aadhaar and parent caste certificate; what must be corrected,,,,,,
WA-0113,field_collected_scripted,civicdocs,caste_certificate,Hinglish,caste certificate application ke liye school record aur family evidence hai,,,,,,
WA-0114,field_collected_scripted,civicdocs,caste_certificate,English,Surname differs between Aadhaar and parent caste certificate; what must be corrected,,,,,,
WA-0115,field_collected_scripted,civicdocs,caste_certificate,Hinglish,caste certificate application ke liye school record aur family evidence hai,,,,,,
WA-0116,field_collected_scripted,civicdocs,caste_certificate,English,Surname differs between Aadhaar and parent caste certificate; what must be corrected,,,,,,
WA-0117,field_collected_scripted,civicdocs,caste_certificate,Hinglish,caste certificate application ke liye school record aur family evidence hai,,,,,,
WA-0118,field_collected_scripted,civicdocs,caste_certificate,English,Surname differs between Aadhaar and parent caste certificate; what must be corrected,,,,,,
WA-0119,field_collected_scripted,civicdocs,caste_certificate,Hinglish,caste certificate application ke liye school record aur family evidence hai,,,,,,
WA-0120,field_collected_scripted,civicdocs,caste_certificate,English,Surname differs between Aadhaar and parent caste certificate; what must be corrected,,,,,,
WA-0121,field_collected_scripted,civicdocs,domicile_certificate,Hinglish,college admission ke liye domicile application chahiye rent agreement available hai,,,,,,
WA-0122,field_collected_scripted,civicdocs,domicile_certificate,English,Old address is on identity proof but current electricity bill has a new address,,,,,,
WA-0123,field_collected_scripted,civicdocs,domicile_certificate,Hinglish,college admission ke liye domicile application chahiye rent agreement available hai,,,,,,
WA-0124,field_collected_scripted,civicdocs,domicile_certificate,English,Old address is on identity proof but current electricity bill has a new address,,,,,,
WA-0125,field_collected_scripted,civicdocs,domicile_certificate,Hinglish,college admission ke liye domicile application chahiye rent agreement available hai,,,,,,
WA-0126,field_collected_scripted,civicdocs,domicile_certificate,English,Old address is on identity proof but current electricity bill has a new address,,,,,,
WA-0127,field_collected_scripted,civicdocs,domicile_certificate,Hinglish,college admission ke liye domicile application chahiye rent agreement available hai,,,,,,
WA-0128,field_collected_scripted,civicdocs,domicile_certificate,English,Old address is on identity proof but current electricity bill has a new address,,,,,,
WA-0129,field_collected_scripted,civicdocs,domicile_certificate,Hinglish,college admission ke liye domicile application chahiye rent agreement available hai,,,,,,
WA-0130,field_collected_scripted,civicdocs,domicile_certificate,English,Old address is on identity proof but current electricity bill has a new address,,,,,,
WA-0131,field_collected_scripted,civicdocs,disability_pension,Hinglish,disability certificate 60 percent ka hai pension application documents check karo,,,,,,
WA-0132,field_collected_scripted,civicdocs,disability_pension,English,UDID card name spelling differs from bank passbook and needs confirmation,,,,,,
WA-0133,field_collected_scripted,civicdocs,disability_pension,Hinglish,disability certificate 60 percent ka hai pension application documents check karo,,,,,,
WA-0134,field_collected_scripted,civicdocs,disability_pension,English,UDID card name spelling differs from bank passbook and needs confirmation,,,,,,
WA-0135,field_collected_scripted,civicdocs,disability_pension,Hinglish,disability certificate 60 percent ka hai pension application documents check karo,,,,,,
WA-0136,field_collected_scripted,civicdocs,disability_pension,English,UDID card name spelling differs from bank passbook and needs confirmation,,,,,,
WA-0137,field_collected_scripted,civicdocs,disability_pension,Hinglish,disability certificate 60 percent ka hai pension application documents check karo,,,,,,
WA-0138,field_collected_scripted,civicdocs,disability_pension,English,UDID card name spelling differs from bank passbook and needs confirmation,,,,,,
WA-0139,field_collected_scripted,civicdocs,disability_pension,Hinglish,disability certificate 60 percent ka hai pension application documents check karo,,,,,,
WA-0140,field_collected_scripted,civicdocs,disability_pension,English,UDID card name spelling differs from bank passbook and needs confirmation,,,,,,
WA-0141,field_collected_scripted,civicdocs,legal_aid_application,English,court notice mila lawyer afford nahi kar sakte DLSA application prepare karo,,,,,,
WA-0142,field_collected_scripted,civicdocs,legal_aid_application,English,FIR copy and income proof are available for free legal aid application,,,,,,
WA-0143,field_collected_scripted,civicdocs,legal_aid_application,English,court notice mila lawyer afford nahi kar sakte DLSA application prepare karo,,,,,,
WA-0144,field_collected_scripted,civicdocs,legal_aid_application,English,FIR copy and income proof are available for free legal aid application,,,,,,
WA-0145,field_collected_scripted,civicdocs,legal_aid_application,English,court notice mila lawyer afford nahi kar sakte DLSA application prepare karo,,,,,,
WA-0146,field_collected_scripted,civicdocs,legal_aid_application,English,FIR copy and income proof are available for free legal aid application,,,,,,
WA-0147,field_collected_scripted,civicdocs,legal_aid_application,English,court notice mila lawyer afford nahi kar sakte DLSA application prepare karo,,,,,,
WA-0148,field_collected_scripted,civicdocs,legal_aid_application,English,FIR copy and income proof are available for free legal aid application,,,,,,
WA-0149,field_collected_scripted,civicdocs,legal_aid_application,English,court notice mila lawyer afford nahi kar sakte DLSA application prepare karo,,,,,,
WA-0150,field_collected_scripted,civicdocs,legal_aid_application,English,FIR copy and income proof are available for free legal aid application,,,,,,
