collection_id,provenance,language_code,expected_intent,message,fluent_reviewer,natural_language_score_1_to_5,intent_correct,corrected_message,review_notes
NATIVE-0065,native_script_review,te,tenant_housing,ఇంటి యజమాని నోటీసు లేకుండా ఖాళీ చేయమంటున్నారు. Test 5,,,,,
NATIVE-0066,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 1,,,,,
NATIVE-0067,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 1,,,,,
NATIVE-0068,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 1,,,,,
NATIVE-0069,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 2,,,,,
NATIVE-0070,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 2,,,,,
NATIVE-0071,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 2,,,,,
NATIVE-0072,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 3,,,,,
NATIVE-0073,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 3,,,,,
NATIVE-0074,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 3,,,,,
NATIVE-0075,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 4,,,,,
NATIVE-0076,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 4,,,,,
NATIVE-0077,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 4,,,,,
NATIVE-0078,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 5,,,,,
NATIVE-0079,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 5,,,,,
NATIVE-0080,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 5,,,,,
NATIVE-0081,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 1,,,,,
NATIVE-0082,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 1,,,,,
NATIVE-0083,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 1,,,,,
NATIVE-0084,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 2,,,,,
NATIVE-0085,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 2,,,,,
NATIVE-0086,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 2,,,,,
NATIVE-0087,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 3,,,,,
NATIVE-0088,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 3,,,,,
NATIVE-0089,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 3,,,,,
NATIVE-0090,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 4,,,,,
NATIVE-0091,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 4,,,,,
NATIVE-0092,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 4,,,,,
NATIVE-0093,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 5,,,,,
NATIVE-0094,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 5,,,,,
NATIVE-0095,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 5,,,,,
NATIVE-0096,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 1 Review variant 96,,,,,
NATIVE-0097,native_script_review,hi,cyber_fraud,"यूपीआई धोखाधड़ी में पैसे चले गए हैं। ट्रांजैक्शन नंबर मेरे पास है, अब क्या करूं? परीक्षण उदाहरण 1 Review variant 97",,,,,
NATIVE-0098,native_script_review,hi,income_certificate,छात्रवृत्ति के लिए आय प्रमाण पत्र का आवेदन तैयार करना है। परीक्षण उदाहरण 1 Review variant 98,,,,,
NATIVE-0099,native_script_review,hi,domestic_violence,मेरी बहन को घरेलू हिंसा से सुरक्षा और मुफ्त कानूनी सहायता चाहिए। परीक्षण उदाहरण 1 Review variant 99,,,,,
NATIVE-0100,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 2 Review variant 100,,,,,
